INPUT:url	INPUT:text	INPUT:title	GOLDEN:res
http://dynamomania.com/news/501265-igor-dulyaj-horoshie-rezultaty-i-krasivyj-futbol-sbornoj-ukrainy---ne-sluchajnost	Бывший игрок «Шахтера» Игор Дуляй поделился с Tribuna.com мнением о сборной Украины. – Ожидали увидеть Украину на первом месте в группе? – Нет. Все думали, что Португалия будет лидером, а потом уже все остальные. Но Украина сделала сумасшедшую работу. Пару дней назад давал интервью по вашей сборной. Сказал, что Андрей Шевченко провел отличную работу, а в команде прекрасная атмосфера. Это все видно на поле. Многие футболисты играют в своих командах, хорошо знают друг друга и сейчас находятся в хорошей форме. Это большой плюс. Еще надо отметить большой авторитет Шевченко. И не только в Украине, а и во все мире. Уверен, что для многих игроков сборной Украины он был кумиром. У него сумасшедший игровой опыт и он очень хороший специалист. Сейчас в сборной Украины есть хорошие результаты и красивый футбол. Это все не случайность, а следствие хорошо проделанной работы. – С чем Сербия подходит к этому матчу? – В первом матче сборная проиграла Украине 0:5. Понятно, что сейчас команда ждет ответной игры и хочет показать, что и как. – Между украинскими и сербскими болельщиками непростые отношения. Как политика может отразиться на этом матче? – Могу говорить только о футболе. Политика – это для политиков. Главное, чтобы команды порадовали своих болельщиков, – сказал Дуляй. Матч против Сербии начнется в 16.00. 	Игор ДУЛЯЙ: ``Хорошие результаты и красивый футбол сборной Украины - не случайность``	sports
http://trc33.ru/news/events/za-nedelyu-iz-za-dtp-vo-vladimirskoy-oblasti-pogibli-pyat-chelovek/	За неделю на территории Владимирской области зарегистрировано 329 аварий, повлекших материальный ущерб и 31 дорожное происшествие с пострадавшими. Погибли пять человек, 44 получили травмы, в том числе восемь детей. Зарегистрировано семь ДТП с участием пьяных водителей. Всего задержано 82 водителя, которые сели за руль в нетрезвом состоянии, либо отказались проходить медицинское освидетельствование.  Гороховецкий район 4 ноября около 14:00 на 316 километре трассы «М–7 Волга» 37-летний водитель автомобиля «Шевроле Круз» наехал на тросовое ограждение, разделяющее транспортные потоки. После этого автомобиль выбросило на встречную полосу дороги, где он столкнулся с иномаркой «Мерседес Бенц» под управлением 39-летнего водителя. В результате ДТП 32-летний и 33-летний пассажиры автомобиля «Шевроле Круз» госпитализированы, водитель и 30-летний пассажир направлены на амбулаторное лечение. Октябрьский район  5 ноября около 08:15 на 15 километре автодороги «М-7 Волга» (подъезд к городу Иваново) 73-летний водитель автомобиля «ВАЗ 2121» на перекрестке, игнорируя красный сигнал светофора, повернул налево, в результате чего произошло столкновение с автомобилем «Шевроле Нива» под управлением 48-летнего водителя. В результате ДТП водитель автомобиля «ВАЗ 2121» госпитализирован. Петушинский район 6 ноября около 20:20 на 100 километре трассы «М7-Волга» 39-летний водитель автомобиля «Скания» из-за несоблюдения дистанции движения врезался в впереди идущий «Рено Магнум». Затем по цепной реакции иномарка «догнала» автомобиль «Мерседес Бенц», двигавшийся впереди. В результате ДТП водитель автомобиля «Скания» госпитализирован, водитель автомобиля «Рено Магнум» направлен на амбулаторное лечение. Фрунзенский район 7 ноября около 17:40 во Владимире на Суздальском проспекте у дома № 26 40-летний водитель автомобиля «Ниссан», будучи пьяным, врезался в стоящий для совершения поворота налево автомобиль «Черри» под управлением 32-летнего водителя  и автомобиль «Форд», за рулем которого находился 20-летний мужчина. В результате ДТП пострадал трехлетний пассажир автомобиля «Черри». Он направлен на амбулаторное лечение. Ковровский район 8 ноября около 09:25 в Коврове на улице Челюскинцев у дома № 116 46-летний водитель автомобиля «ВАЗ 21051» при выезде на главную дорогу не предоставил преимущество в движении автомобилю «КАМАЗ», за рулем которого находился 29-летний мужчина. В результате ДТП водитель и 42-летний пассажир автомобиля «ВАЗ 21051» от полученных травм скончались на месте происшествия. Кольчугинский район 9 ноября около 02:15 на 16 километре трассы «Юрьев Польский — Кольчугино» 24-летний водитель автомобиля «Лада Калина», находившийся в состоянии алкогольного опьянения, двигаясь в сторону города Кольчугино, врезался в мотоцикл, двигавшийся впереди автомобиля. В результате ДТП 31-летний водитель мотоцикла скончался на месте происшествия. Гусь-Хрустальный район 10 ноября около 02:50 на 11 километре автодороги «Владимир — Тума — Старково» 24-летний водитель автомобиля «ВАЗ 21053», находясь в состоянии алкогольного опьянения, съехал в кювет, где врезался в дерево. От удара машина перевернулась. Водитель направлен на амбулаторное лечение. 	За неделю во Владимирской области в ДТП погибли пять человек	society
https://news-r.ru/news/moscow/383310/	Сборщик долгов заявился домой к должнику и потребовал возврата денег Москва, 12 ноября. Житель Московской области убил сборщика долгов, который пришел к нему за деньгами. По версии правоохранителей, злоумышленник вонзил ему тесак в живот и нанес тем самым смертельную рану. Подозреваемый уже задержан, с ним ведутся оперативные мероприятия. Кровавая драма произошла в подмосковной Ивантеевке. Доподлинно неизвестно, какую сумму задолжал 24-летний подозреваемый. Молодой человек был должен третьему лицу, поэтому за долгом прислали коллектора. У должника на видном месте оказался топор, он им воспользовался, когда коллектор стал настаивать на возврате средств. – Злоумышленник нанес мужчине удар в область живота, пострадавший погиб на месте происшествия. Подозреваемый по делу об убийстве задержан, – сообщают СМИ со ссылками на источник в правоохранительных органов.Ранее «Регион online» сообщал, что москвич попытался убить пенсионерку коньяком с психотропами. Злоумышленник специально добавил в крепкий напиток антипсихотик Галоперидол. Читайте нас в  News 	В Подмосковье должник убил тесаком коллектора	society
https://inforesist.org/eks-komandir-ajdara-otkryvayutsya-ugolovnye-proizvodstva-po-boevym-operacziyam-eto-diskreditacziya-vsu/	Открывая уголовные дела, касающиеся боевых действий на Донбассе, украинская власть занимается дискредитацией военнослужащих. Об этом заявил экс-нардеп и бывший командир штурмовой роты батальона «Айдар» Игорь Лапин, передает Цензор.НЕТ. По его словам, допросив несколько человек по делу о гибели россиян в бою под Луганским аэропортом в 2014 году, СБУ не объявила никому подозрений или обвинений. По его мнению, власть занята дискредитацией военных. Лапин считает, что это связано с высоким уровнем доверия населения к боевым офицерам, солдатам, к волонтерам, и падающими рейтингами власти. Допрос Лапина и его бойцов прошел вчера.  Ранее сообщалось, что ветераны АТО и ООС провели в сети масштабный флешмоб под лозунгом «Извините, что мы не сдохли» из-за скандальной инициативы главы парламентского комитета по вопросам социальной политики и защиты прав ветеранов, нардепа от «Слуги народа» Галины Третьяковой, предложившей отменить льготы для большинства бойцов, сражавшихся с оккупантами на Донбассе. 	Экс-командир «Айдара»: Открываются уголовные производства по боевым операциям, это дискредитация ВСУ	society
https://zik.ua/ru/news/2019/11/01/nashly_lekarstva_kotorie_umenshayut_rakovie_opuholy_za_6_nedel_1681243	Специалисты фармацевтической компании Amgen Research создали эксперементальные лекарства, которые способны уменьшить раковые опухоли на 67% за 6 недель. Об этом сообщает Nature. Новый экспериментальный препарат от рака носит название AMG 510, и его уже испытали на 4 больных. У половины пациентов злокачественные опухоли значительно уменьшились, а для двух членов эксперимента лекарства пока не дали результатов. Как отмечается, в случае ежедневного приема этих таблеток, ``выключается`` ген KRAS, мутационная форма которого вызывает быстрое розможення раковых клеток. Кроме этого, во время мутации онкогены могут превращать нормальные клетки в злокачественные. А препарат AMG 510 способен остановить активность этих генов. Сейчас новые лекарства были испытаны только на 4 пациентах, которые не поддавались другим видам лечения. В ходе эксперимента, у одного больного опухоль уменьшилась на 34%, а у другого – на 67%. К слову, последний пациент получал в два раза большую дозировку препарата. Напомним, недавно онколог и доктор медицинских наук Николай Жуков рассказал, как можно снизить риск возникновения онкологических заболеваний. 	Нашли лекарства, которые уменьшают раковые опухоли за 6 недель	science
https://www.f1news.ru/news/f1-141193.html	Руководитель команды McLaren Андреас Зайдль очень доволен итогами бразильской гонки, в которой Карлос Сайнс заработал первый подиум в своей карьере – и первый для команды с 2014 года. Андреас Зайдль: «Результат бразильского этапа позволил McLaren гарантировать четвёртое место в Кубке конструкторов. Это первый подиум Карлоса в Формуле 1 и первый для McLaren с 2014 года. Этот удивительный успех стал результатом напряженной работы всех наших сотрудников на трассе и на базе, отличных выступлений Карлоса и Ландо. После сложной субботы мы проснулись утром в воскресенье с ясным желанием бороться и не сдаваться. Команда великолепно отработала, реализовала смелую стратегию, отлично провела пит-стопы, оба гонщика провели блестящую гонку, оказавшись на третьем и восьмом месте после того, как машины соперников выбыли. Мы сохраняем концентрацию и продолжаем борьбу за позиции в личном зачёте. Успех в этом году вместе с подиумом в Бразилии станет для нас отличной мотивацией продолжать работу, чтобы в будущем зарабатывать подиумы для McLaren за счёт своей скорости». 	Андреас Зайдль: Четвёртое место гарантировано!	sports
https://www.bfm.ru/news/429585	Кредитная организация нарушала законодательство о противодействии отмыванию денег Банк России отозвал лицензию у дагестанского КБ «Кредитинвест» (Кизилюрт). С 15 ноября 2019 года ему запрещено осуществлять банковские операции, сообщил регулятор. «Кредитинвест» является участником системы страхования вкладов, на 1 ноября он занимал 386-е место в банковской системе РФ по величине активов. По данным ЦБ, «Кредитинвест» допускал нарушения законодательства и нормативных актов Банка России в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма. Кредитная организация также представляла в уполномоченный орган неполную и недостоверную информацию, в том числе по операциям, подлежащим обязательному контролю. Кроме того, «Кредитинвест» проводил сомнительные трансграничные операции. Инспекционная проверка деятельности «Кредитинвеста» выявила многочисленные нарушения в области порядка ведения кассовых операций, а также обеспечения информационной безопасности, отмечается в сообщении регулятора. В банк назначена временная администрация, которая будет действовать до момента назначения конкурсного управляющего либо ликвидатора. Полномочия исполнительных органов кредитной организации приостановлены. 	Банк «Кредитинвест» остался без лицензии	economy
https://www.vesti.ru/doc.html?id=3210081	В Благовещенске, где накануне студент Амурского колледжа строительства и коммунального хозяйства устроил стрельбу в учебном заведении, а после совершил суицид, усилены меры безопасности. Кроме него еще один человек погиб, ранены трое. Круглосуточное дежурство должностных лиц организовано школах, колледжах и детских садах Приамурья, передает телеканал ``Россия 24``. Возбуждено три уголовных дела, в том числе по статье об убийстве двух лиц, совершенном из хулиганских побуждений. Следствие выяснило, что охрана в колледже работала без соответствующих разрешений. Власти обещают увеличить расходы на безопасность, а также проверить все школы и колледжи города на предмет наличия камер наблюдения, тревожных кнопок и металлодетекторов. По словам врачей — состояние пострадавших стабильное. Один из них находится на лечении в городской больнице, еще двое — в областной. 	После стрельбы в школах Приамурья организовано круглосуточное дежурство	society
https://tvrain.ru/news/v_moskve_zaderzhali_24_uchastnika_antifashistskogo_turnira_po_edinoborstvam-497524/	Там отмечается, что задержанных везут в «ближайшее» отделение полиции. Бывший фигурант «московского дела» Владислав Барабанов, который присутствовал на турнире, опубликовал в своем телеграм-канале видео инцидента. На нем видно, что участников турнира поставили лицом к стене со сложенными руками за головой. Также на видео слышно, что один из силовиков требует «убрать все телефоны».  Добавлено. Как сообщает ОВД-Инфо, задержанных участников турнира группами по 25 человек доставляют в отделение полиции «Сокол». Причиной задержания им назвали необходимость «проверки по базе». В настоящее время задержанных держат на улице рядом с ОВД и фотографируют у них паспорта. Позже Барабанов написал, что еще 25 человек везут отдел по Хорошевскому району. «Медиазона» со ссылкой на источник пишет, что всего задержали от 50 до 60 участников турнира.  Дополнено. Практические всех задержанных, которых было не менее 80, отпустили из отделов полиции, пишет ОВД-Инфо. С ними провели беседу и потребовали заполнить анкеты с указанием адреса проживания, места работы или учебы, а также национальности, цвета глаз и других личных данных. От некоторых потребовали паспортные данные и отпечатки пальцев.  Не бойся быть свободным. Оформи донейт. 	В Москве задержали около 80 участников антифашистского турнира по единоборствам	society
https://3dtoday.ru/we-print/perekur-v-masterskoy	Вот и сама миниатюра. Масштаб 1:8 Фотополимер Anycubic Высота слоя 35мк 	Перекур в мастерской	not_news
