INPUT:url	INPUT:title	INPUT:text	GOLDEN:res
http://komiinform.ru/news/188474	В 2019 году в Коми снизились объемы продаж древесины	В Коми отмечено снижение объемов проданной древесины по сравнению с прошлым годом. Об этом шла речь сегодня, 6 ноября, на рабочем совещании о госпрограмме Коми ``Развитие лесного хозяйства`` и региональном проекте ``Сохранение лесов`` в Госсовете региона. Министр природных ресурсов и охраны окружающей среды республики Роман Полшведкин пояснил: чтобы создать условия для развития малого и среднего бизнеса в лесном хозяйстве, а также рабочих мест в отдаленных лесных населенных пунктах, Минприроды РК в течение года проводит аукционы по купле-продаже древесины на корню. Так, на 1 октября этого года было проведено 82 аукциона на право заключения договора купили-продажи древесины для нужд малого бизнеса и продано 577 тыс. кубометров древесины. За десять месяцев 2018 года - 761 тыс. кубометров. Средняя аукционная цена составила 275,5 рублей за кубометр. Поступление средств в республиканский бюджет от продажи древесины с аукционов на 1 октября составило 108 млн рублей. Снижение объемов проданной древесины по сравнению с прошлым годом связано с отсутствием заявок на участие в торгах. Так, на 1 октября выставлено 814 тыс. кубометров, а заявлено на 577 тыс. кубометров. Ситуация с отсутствием заявок, как пояснил министр, объясняется  крайне неблагоприятными погодными условиями с мая по сентябрь, наличием у предпринимателей не вывезенных запасов древесины, заготовленной с октября 2018 года по март 2019-го. До конца года Минприроды планирует реализовать не менее миллиона кубометров древесины. Затраты республиканского бюджета на отвод и таксацию лесосек для проведения аукционов возвращаются в бюджет Коми в десятикратном размере. Кроме того, работники учреждений лесного хозяйства организовывают работу по отпуску древесины для собственных нужд граждан республики. С начала 2019 года заключено 8083 договора купли-продажи лесных насаждений с объемом 195 тыс. кубометров, в том числе деловой - 117 тыс. кубометров и дровяной - 78 тыс. 	economy
https://www.the-village.ru/village/people/the-video/366461-preziki	Безопасным ли сексом занимаются москвичи? Видеоэксперимент	Презерватив — лучшая защита от инфекций, передающихся половым путем, в частности ВИЧ. Более надежный вариант защиты разве что воздержание, но к нему мы не призываем. Даже если у вас постоянный партнер, вы можете не использовать презервативы, только ежегодно сдавая анализы и показывая друг другу справки (ведь, напомним, заразиться можно не только во время секса). В новом выпуске нашего шоу «По заданию The Village» мы выясняем, носят ли москвичи с собой презервативы. А если не носят, то мы проверяем, умеют ли они хотя бы пользоваться ими. Спасибо всем смелым! Обложка: The Village 	not_news
https://www.cosmo.ru/fashion/star_style/top-6-udachnyh-zvezdnyh-primerov-kak-nosit-palto-s-sapogami/	Топ-6 удачных звездных примеров, как носить пальто с сапогами	Кажется, высокие сапоги под крокодила в этом сезоне будут смотреться хорошо со всем — Роузи Хантингтон-Уайтли тому живой пример. Не бойся не попасть в цвет — как мы видим, синий стильно выглядит даже без очевидной цветовой поддержки (но она все же есть — сумка). Такой нежный и теплый лук обязательно стоит взять на заметку! Высокие сапоги со сборками, вязаный комплект и пальто цвета кэмел. Только выбирай колготки поплотнее — все-таки у нас зимы посуровее, чем в Лондоне. И опять в нашем топе Роузи! А всё потому, что ее подписчики неустанно восторгаются ее луками в «Инстаграме». Вот модель и экспериментирует с трендами, пряча сапоги под брюки и утепляясь пальто со звериным принтом. Total White — история, идеально подходящая под снежную зиму. Тут главное — посмотреть прогноз и не отправиться гулять по снежным улицам, когда все начнет немного таять. Высокие сапоги, шляпа, пальто в пол — твой наряд, соответствующий трендам, готов. А как тебе такое решение: пальто с пологими плечами и Total Red. Нам кажется, идеальное! Особенно если вечером тебя ждет вечеринка. Такой фасон пальто считается самым женственным (если опустить модель с поясом), поэтому под него можно надеть практически любые каблуки. Винни знает меру: с плащом со змеиным принтом она носит черные сапоги и очки с коричневыми линзами. Кричащий узор занимает центральное место, а аксессуары служат базой, которая не оттягивает на себя лишнего внимания. Так образ получается ярким, но не перегруженным. Фото: Getty images Интересуешься этой темой?Получай последние тенденции моды на почту. ОК Я соглашаюсь с правилами сайта Спасибо. Мы отправили на ваш email письмо с подтверждением. 	not_news
http://36on.ru/business/industry/87533-v-voronezhskoy-oblasti-otkroetsya-zavod-po-proizvodstvu-soi	В Воронежской области откроется завод по производству сои	Венгерская компания UB Merchants, занимающаяся производством кормов и защищенной сои, планирует возвести под Воронежем два завода. Предприятия будут производить защищенный соевый белок и полножирную сою, а также высокобелковый подсолнечный шрот. Проект планируется реализовать в индустриальном парке «Масловский». Как сообщает «Коммерсант» со ссылкой на представителя венгерской компании, инвестиции в строительство могут составить 5-6 млн евро, без учета проектных работ. 40-50% из них – это собственные средства фирмы. Бизнесмены планируют освоить 3,5 га. Здесь должны расположиться два примерно одинаковых завода. Торги по закупке оборудования уже начались. Ожидается, что строительство объектов начнется весной следующего года, производство будет запущено либо в конце 2020-го, либо весной 2021 года. Сейчас власти региона прорабатывают вопрос о предоставлении фирме субсидий и подведении железной дороги к производству. 	economy
https://eadaily.com/ru/news/2019/11/12/kuplennye-v-rossii-boepripasy-turciya-peredaet-dzhihadistam-sirii	Купленные в России боеприпасы Турция передает джихадистам Сирии	Турция передает купленные в России боеприпасы сирийским джихадистам. По крайней мере, блогеры, отслеживающие оружие в зонах конфликтов, обнаружили распродажу ящиков из-под российских боеприпасов в Идлибе. На ящиках указано, что патроны поставили из России в Турцию. Фотографии ящиков из-под оружия и боеприпасов, которые продаются в сирийском Идлибе, опубликовал блогер Mick, специализирующийся на легком вооружении. «Пустые ящики из-под боеприпасов продаются в Идлибе по цене около одного доллара за штуку», — написал он в Twitter. А вот другой блогер, Lost Weapons, разглядел на одном ящике из последнего оплота сирийских джихадистов любопытную надпись. «Россия продает оружие Турции, которая затем передает его в Идлиб, чтобы воевать с Россией», — заметил он в подписи под фотографией ящика с надписью об экспортном контракте, где покупателем выступает Минобороны Турции, а продавцом — «Росвооружение». Порт доставки — Самсун, который находится на Черноморском побережье Турции. Блогеры уже не первый раз фиксируют российские вооружения в руках сирийских джихадистов. Например, в 2017 году на черный рынок Идлиба выбросили целый десяток новеньких российских автоматов АК-74М, а сейчас можно найти и АК-103s с лазерной оптикой. Однако, как ранее блогер Lost Weapons рассказывал EADaily, в большинстве случаев оно попадает к боевикам или после захвата ими позиций сирийской правительственной армии, или нечистые на руку сирийские военные перепродают его боевикам. В случае же с ящиками история иная. Турция никогда не сотрудничала с Дамаском после начала войны, а была его противником и прямо поддерживала боевиков. Единственный вопрос: когда боеприпасы были куплены Турцией? Дело в том, что ФГУП «Государственная компания «Росвооружение «» существовало до 2000 года, после чего было преобразовано в «Рособоронэкспорт», который входит в состав госкорпорации «Ростех». Очевидно, что российские боеприпасы оказались в Турции еще в 90-х, а воспользовались ими только сейчас. Судя по фотографии, российские боеприпасы находились в большинстве ящиков. На фотографии их несколько десятков. По маркировке, в ящиках находились 14,5-миллиметровые патроны для крупнокалиберного пулемета, патроны с зажигательной пулей мгновенного действия и патроны для легкого стрелкового оружия калибра 7,62. Провинция Идлиб остается последним оплотом сирийских джихадистов и зоной деэскалации, перемирие на территории которой обязалась обеспечивать Анкара. Джихадисты региона при этом разделены. Одни остаются преданы «Аль-Каиде» (запрещена в РФ) и входят в группировку «Хайят Тахрир аль-Шам», а другие подконтрольны Турции, и из них Анкара сформировала «Сирийскую национальную армию». Боевики уже третий раз подряд участвуют в турецких операциях против курдов на севере Сирии. При этом особых успехов без поддержки регулярной армии они не добивались. По крайней мере, с алькаидовцами они ничего поделать в Идлибе не могут, и скорее турецкие спецслужбы оберегают их от уничтожения вне зависимости от того, какое оружие находится у тех в руках. Традиционно оно не российское, но советского образца, которое поставляют из стран Восточной Европы, о чем уже писалоEADaily. А российские боеприпасы, понятно, отлично подходят к поставляемому оружию. 	society
https://www.kommersant.ru/doc/4156213	ФОМ обнаружил рост доверия россиян губернаторам	Индикатор доверия россиян к губернаторам, по сравнению с летом 2018 года, вырос с 14 по 28 процентных пунктов (п. п.), показал новый опрос фонда «Общественное мнение». Результаты исследования приводит ТАСС. Из исследования следует, что сейчас главам своих регионов доверяют 54% россиян, а 26% доверия к губернаторам не испытывают. Кроме того, в ФОМ зафиксировали позитивную динамику в оценках деятельности руководителей субъектов. Если летом 2018 года 41% россиян считали, что главы их регионов работают хорошо, а 22% считали, что плохо, то сейчас одобрение выросло до 50%, а критика, напротив, снизилась до 19%. «Сейчас соотношение позитивных и негативных оценок гораздо благоприятнее для губернаторов, чем оно было до пенсионной реформы и сопряженных с нею перемен в общественных и политических настроениях россиян,— уточняют в ФОМ.— В 76 регионах больше жителей, доверяющих губернаторам и положительно оценивающих их работу, нежели не доверяющих региональным руководителям и недовольных их деятельностью». Положительные изменения в фонде объясняют кадровой политикой Владимира Путина, в результате которой «на места непопулярных губернаторов приходят люди, получающие от жителей кредит доверия». Доверие традиционно растет осенью: так происходило после единого дня голосования и в 2018-м, и в 2019 году, отмечают социологи. Напомним, губернаторские выборы в 2018 году прошли для администрации президента проблематичнее, чем в 2019-м: тогда из 22 кампаний три закончились победой оппозиционных кандидатов во втором туре, а в одном случае пришлось назначать повторные выборы. Все 16 кандидатов власти в 2018 году победили в первом туре. Как сообщал “Ъ”, в минувшие выходные в Подмосковье прошел семинар для вице-губернаторов по внутренней политике. Перед ними выступили кураторы внутриполитического блока администрации президента. Ключевой темой семинара стали как раз показатели доверия главе государства и губернаторам. По словам источников “Ъ”, главам регионов дали понять, что они должны стремиться к позитивной динамике рейтинга президента. Напомним, лучший результат получил глава Забайкальского края Алексей Осипов (89,61%). Самый невысокий результат оказался у главы Сахалина Валерия Лимаренко (56,14%). О том, как губернаторам напомнили об ответственности за рейтинги Владимира Путина, читайте в публикации “Ъ”. 	society
https://www.interfax.ru/russia/683947	Пропавшую в Ставрополе девушку обнаружили после двух дней поисков живой	Москва. 12 ноября. INTERFAX.RU - Пропавшая в Ставрополе 16-летняя девушка обнаружена живой после двух дней поисков, сообщил глава города Андрей Джатдоев вечером во вторник. ``Девочка нашлась. Она жива - здорова``, - написал Джатдоев на своей страницы в инстаграме. Вместе с тем, пресс-служба СУ СКР по региону сообщила, что по предварительным данным никаких преступлений в отношении девочки совершено не было. Следователи проведут опрос школьницы для установления обстоятельств её исчезновения. Пресс-служба краевого главка полиции сообщила о том, что устанавливаются все обстоятельства произошедшего. Ранее сообщалось, что утром 11 ноября школьница ушла из дома и до сих пор о ее местонахождении ничего неизвестно. Днем во вторник следователи обнаружили в лесополосе города завернутый в полиэтиленовый пакет телефон пропавшей. 	society
https://life.ru/t/%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8/1255544/ssha_vkliuchili_v_sanktsionnyi_spisok_ghlavu_mvd_kuby	США включили в санкционный список главу МВД Кубы	США ввели санкции против министра внутренних дел Кубы Хулио Гандарильи за нарушение прав человека в Венесуэле, сообщает Госдеп. В этот список попали также его дети. Американские власти уверены, что МВД страны ответственно за задержание и лишение свободы тысяч кубинских граждан. 16 ноября США расширили санкции в отношении Кубы, под ограничение попало пять гостиниц, которые, по мнению американских властей, принадлежат кубинским вооружённым силам. В июне 2017 года президент США Дональд Трамп заявил об отказе от политики нормализации отношений с Кубой, начатой его предшественником Бараком Обамой, и отменил заключённую сделку, объявив о сохранении введённого в 1962 году эмбарго и дав понять, что жёсткий курс не изменится. Пакеты санкций были расширены в октябре этого года, кроме того, США приостановили рейсы в страну из-за финансирования ``режима Мадуро``. 	society
https://kurer-sreda.ru/2019/11/17/479148-sel-na-pozhiznennyj-srok-ubivshij-14-letnyuyu-shkolnicu-v-sochi-zhitel-buryatii	Сел на пожизненный срок убивший 14-летнюю школьницу в Сочи житель Бурятии	17:13  17.11.2019 Фото: pixabay.com0 Резонансное убийство произошло в июле 2016 года. Тело 14-летней девочки с признаками удушения и побоев было обнаружено рядом с остановкой Магри Северо-Кавказской железной дороги в Сочи. Кроме удушения, побоев, зафиксирована попытка изнасилования ребенка. Суд приговорил жителя Бурятии за попытку изнасиловать и убийство школьницы на железнодорожной платформе в Сочи, сообщает Краснодарский краевой суд.Резонансное убийство произошло в июле 2016 года. Тело 14-летней девочки с признаками удушения и побоев было обнаружено рядом с остановкой Магри Северо-Кавказской железной дороги в Сочи. Девочка жила в поселке Магри Лазаревского района Краснодарского края, училась в девятом классе. По предварительным данным, вечером 14 июля она возвращалась с дискотеки, но до дома не добралась. По факту убийства было возбуждено уголовное дело.Подозреваемый скрылся и был задержан в Ростове-на-Дону. Обвиняемым в разбойном нападении, попытке изнасилования и убийстве стал житель республики Бурятия Тхоров. Также он обвинялся в совершении преступлений, связанных с хищением чужого имущества на территории другого региона. Дело рассматривал Краснодарский краевой суд. «Исследовав в ходе судебного разбирательства многочисленные допустимые доказательства, суд пришел к выводу о доказанности вины подсудимого и необходимости постановления обвинительного приговора… Судом Тхорову назначено окончательное наказание в виде пожизненного лишения свободы с отбыванием наказания в исправительной колонии особого режима, с отбыванием первых десяти лет в тюрьме. Приговор в законную силу не вступил», — говорится в сообщении. Источник: РИА Новости пожизненное убийство школьница 	society
https://gordonua.com/news/crimea/v-fsb-isklyuchili-ukrainskie-korabli-iz-chisla-veshchestvennyh-dokazatelstv-smi-1433329.html	В ФСБ исключили украинские корабли из числа вещественных доказательств – СМИ	Следователи российской Федеральной службы безопасности, которые занимаются делом украинских моряков, которых захватили возле Керченского пролива в ноябре 2018 года, исключили из числа вещественных доказательств украинские катера ``Бердянск`` и ``Никополь``, а также буксир ``Яны Капу``. Об этом 17 ноября со ссылкой на источник в правоохранительных органах сообщает ТАСС. По данным российского агентства, из числа вещдоков катера и буксир исключены до рассмотрения дела украинских моряков в российском суде. 25 ноября 2018 года РФ обстреляла и захватила в Черном море катера ``Бердянск`` и ``Никополь``, а также буксир ``Яны Капу``, которые возвращались в Одессу после попытки пройти через Керченский пролив в Азовское море. Российские силовики задержали 24 украинских моряка, позже их арестовали в крымских ``судах`` и перевезли в Москву. Всем украинцам предъявили обвинения в незаконном пересечении границы РФ. В апреле 2019 года Украина обратилась в Международный трибунал по морскому праву, потребовав в качестве временных мер обязать РФ немедленно освободить моряков и корабли. Российская сторона отказалась от участия в слушаниях. 25 мая трибунал в Гамбурге обязал Россию немедленно освободить три задержанных украинских корабля, а также 24 задержанных моряка и позволить им вернуться в Украину. Срок выполнения решения истек 25 июня. 7 сентября между Украиной и РФ состоялся обмен удерживаемыми лицами в формате ``35 на 35``. Среди вернувшихся на родину – захваченные Россией после инцидента у Керченского пролива 24 украинских моряка. Адвокат Николай Полозов сообщал, что моряков отпустили под поручительство украинского омбудсмена Людмилы Денисовой. В октябре министр иностранных дел Украины Вадим Пристайко говорил, что в ближайшее время Россия вернет Украине военные корабли. Он рассказал, что Украина и РФ взаимодействуют по этому вопросу и процесс переговоров находится ``на финальном этапе``. По данным заместителя министра иностранных дел Украины Елены Зеркаль, Киев минимум семь раз обращался к российским властям с требованием вернуть корабли. В Совфеде РФ требовали от Украины признать, что действия моряков были провокационными, для того чтобы Москва вернула захваченные корабли. 15 ноября российская газета ``Коммерсантъ``, ссылаясь на свои источники, написала, что Россия намерена вернуть захваченные украинские корабли до проведения саммита в нормандском формате. В МИД РФ отрицали связь между возвращением катеров и буксира и встречей ``Нормандской четверки``. Как сообщила радиостанция ``Керчь.ФМ``, 17 ноября военные катера ``Бердянск`` и ``Никополь``, а также буксир ``Яны Капу`` вывели из Керчи, они прошли под Керченским мостом. 	society
