INPUT:url	INPUT:title	INPUT:text	GOLDEN:res	HINT:text
https://www.ostro.org/general/proisshestviya/news/579787/	В Николаевской области горел пассажирский поезд: обошлось без жертв	Дизельный поезд горел на перегоне ``Колосовка - Николаев`` Николаевской области в субботу. Об этом говорится в сообщении областного главка Государственной службы по чрезвычайным ситуациям. В нем говорится, что 16 ноября в 13:23 в Службу спасения поступило сообщение о пожаре в дизельном поезде. К месту вызова было направлено отделение 11-й государственной пожарно-спасательной части. По прибытии было установлено, что огнем охвачен тягач и последний вагон поезда, другие вагоны с пассажирами отцепили и отправили на место назначения по маршруту до прибытия спасателей. В 14:00 пожар был локализован и через полтора часа ликвидирован. Пострадавших при пожаре нет. Причина возникновения пожара устанавливается правоохранительными органами. 	society	Происшествие, а значит "Общество"
https://inosmi.ru/politic/20191117/246247938.html	American Thinker (США): реальные интересы Путина в Латинской Америке	Николас Мадуро и Эво Моралес — опасные диктаторы, которые ввергли свои страны в хаос. С рациональной точки зрения левых социалистов в Латинской Америке можно назвать в политическом отношении мертвым грузом. В долгосрочной перспективе бессмысленно делать ставку на эти режимы. Понимает ли это Кремль? Да, понимает. Следовательно, здесь может возникнуть совершенно логичный вопрос: по какой причине россияне их поддерживают? Ответ на этот вопрос найти непросто: чтобы понять реальные мотивы действий Москвы, необходимо рассмотреть всю ситуацию с точки зрения фундаментальных внешнеполитических взглядов президента Путина на международные отношения. В современной России эта система взглядов называется русским неоконсерватизмом или путинизмом. В основе внешней политики лежит задача вернуть России статус великой державы. С точки зрения Путина, он не только лидер страны, но и продолжатель миссии царей и императоров по реализации концепции «Москва — третий Рим». Мир должен принять тот факт, что он действительно в это верит. В то же время он прагматик, а это значит, что латиноамериканские или ближневосточные диктаторы мало что значат для него, как и судьба этих стран и их народов. Путин однажды четко заявил, что мир без России ему не нужен. С этой точки зрения, российский президент рассматривает Сирию и Латинскую Америку исключительно как предмет торга в будущем диалоге с США и Китаем по новой структуре мирового порядка. Венесуэла и Боливия — это страны, которые, согласно доктрине Монро, относятся к зоне особых политических, экономических и военно-технических интересов Соединенных Штатов. В прошлом Россия (в то время в лице СССР) и Америка уже сталкивались друг с другом в этой зоне геополитических интересов Вашингтона. Во время карибского кризиса 1962 года администрация Кеннеди была готова принять самые решительные меры, чтобы избавиться от советских ядерных ракет, расположенных вблизи штата Флорида. В тот момент холодная война почти переросла в первую глобальную ядерную войну между двумя сверхдержавами. Из этого кризиса Москва извлекла два основных урока. Во-первых, Вашингтон готов начать войну, если другое государство перейдет границы дозволенного в странах американского континента. Во-вторых, случаи с латиноамериканскими странами можно использовать в качестве темы переговоров, а также для того, чтобы достичь дальнейших уступок с американской стороны по более важным вопросам (например, таких, как соглашение о выводе ракет из Турции во время кубинского кризиса 1962 года). Путин довольно осторожен. С одной стороны, он не переходит границ и не предпринимает рискованных шагов. С другой стороны, он возвращает «русский фактор» в зону доктрины Монро. Для России важно, чтобы Мадуро и другие латиноамериканские политики стали головной болью для Вашингтона. И чем сильнее будет эта боль, тем лучше. Политический расчет кремлевских стратегов основан на том факте, что США рано или поздно обратятся к Кремлю с просьбой помочь им в решении определенной задачи. Москва согласится помочь в обмен на нечто, связанное, например, с Украиной или развертыванием системы противоракетной обороны в Восточной Европе. Военно-политическая элита Путина убеждена, что прагматичный Дональд Трамп рассматривает далекую Украину, которая приносит ему одни лишь проблемы, как менее значимую в стратегическом отношении страну, чем соседняя Венесуэла или Куба. Таким образом, Москва хочет наладить с Соединенными Штатами диалог о том, чтобы две эти державы вернулись к модели разделения зон влияния и ответственности. Путин стремится добиться полного господства России на постсоветском пространстве; он считает его частью российской зоны геополитического влияния с цивилизационной, исторической и экономической точки зрения. Следовательно, со стороны путинской России речь идет не о каких-либо субъективных политических пристрастиях, а о явном прагматизме. Дэн Кэлмик (Den Kalmyk) — кандидат экономических наук, эксперт в области экономики. Был доцентом в Оксфордском и Йельском университетах.   Материалы ИноСМИ содержат оценки исключительно зарубежных СМИ и не отражают позицию редакции ИноСМИ. Присоединяйтесь к нам в Одноклассниках, чтобы быть в теме главных событий. 	society	Политика, а значит "Общество"
https://korrespondent.net/business/financial/4160164-byrzhy-ssha-zakrylys-preymuschestvenno-v-pluise	Биржи США закрылись преимущественно в плюсе	Индекс Dow Jones вырос на 0,33% – до 27783,59 пункта. Индекс S&P 500 прибавил 0,07% – до 3093,97 пункта. NASDAQ упал на 0,05% – до 8482,1 пункта.По материалам: Корреспондент.biz 	economy	Биржевые новости - "Экономика"
https://rueconomics.ru/417758-raskryt-gonorar-sofii-rotaru-za-novogodnii-korporativ-v-moskve	Раскрыт гонорар Софии Ротару за новогодний корпоратив в Москве	Народная артистка СССР София Ротару подтвердила свое участие организаторам новогоднего концерта «Песня года» после отказа выступать там в прошлом году из-за ситуации на Украине. Съемки пройдут на площадке «ВТБ Арена» 7 декабря, а эфир с участием легенды отечественной эстрады покажут 1 и 2 января 2020 года на канале «Россия 1». Также 72-летняя Ротару выступит 14 декабря на фестивале «Легенды ретро FM» и еще рассматривает предложения о новогодних корпоративах в Москве. По данным «Комсомольской правды», гонорар певицы включает оплату транспортных расходов из Украины в Россию, проживание, а также сам концерт. Итоговая сумма составляет 50–60 тысяч долларов, или 3,1–3,8 млн рублей. Ранее в Сети появились публикации о том, что секрет молодости Ротару заключается в пластическом гриме. Читайте нас в Яндексе 	entertainment	Профессиональная деятельность певицы - "Культура и развлечения"
https://www.f1news.ru/interview/leclerc/141153.shtml	Шарль Леклер: Задача на гонку довольно сложная	Шарль Леклер остался недоволен собой после неудачной второй попытки в квалификации: гонщик Ferrari показал только четвёртое время, хотя рассчитывал бороться за поул. После штрафа за замену двигателя ему предстоит начинать гонку со второй половины стартового поля – Шарль признал, что в воскресенье придётся решать сложную задачу, поскольку машина Ferrari не отличается высоким гоночным темпом. Вопрос: В первой части квалификации вы выполнили три попытки?Шарль Леклер: Да, три быстрых круга, но первую сессию мы всё-таки преодолели, а вот в финале я остался очень недоволен тем, как проехал свой круг. Думаю, что первая попытка в финале была достаточно неплохой, во второй мы тоже были близки к поулу, но в последнем повороте я допустил серьёзную ошибку, которая стоила мне три или четыре десятых. Но такова жизнь! Полностью моя вина, и это должно стать мне уроком. Вопрос: Вы знали, что получите штраф в виде потери стартовых позиций, но всё-таки пытались бороться за поул? Или вашей главной задачей было добиться возможности стартовать на шинах средней жёсткости?Шарль Леклер: Думаю, мы отлично сработали во второй квалификационной сессии и прошли в финал на шинах с жёлтой маркировкой – этим я очень доволен. Но в третьей сессии, даже несмотря на штраф, я бы хотел показать более высокий результат. Вопрос: А что конкретно произошло в решающей попытке?Шарль Леклер: Я сам наделал глупостей! Однозначно, машина позволяла бороться за поул, но я не справился с задачей. В последнем повороте я проехал прямо, и на выходе из него машина оказалась на траве. Если бы не это, возможно, я бы показал лучшее время. Впрочем, это мало что меняет, поскольку я получу штраф, но если бы я взял поул, это было бы лучше для всех. Вопрос: В любом случае на вашей машине установлен новый двигатель, и у вас будет возможность прорываться вперёд, поэтому вы наверняка постараетесь финишировать поближе к подиуму, а может быть, даже подняться на него?Шарль Леклер: Очень оптимистичный прогноз, но мне нравится такой подход! Мне тоже надо бы так настроиться, хотя задача достаточно сложная, потому что пока гоночный темп оставляет желать лучшего, но я собираюсь полностью выложиться – надеюсь, это позволит добраться до подиума. В любом случае, я намерен получить удовольствие! Вопрос: Какую тактику можно попытаться применить в гонке, чтобы выполнить эту задачу?Шарль Леклер: Пока не знаю, завтра посмотрим, но понятно, что мы стартуем на шинах средней жёсткости, хотя не думаю, что это обеспечит какое-то существенное преимущество. На этой трассе разница между составами Soft и Medium в плане деградации невелика, но мы попытаемся что-нибудь придумать. Вопрос: Какой фактор вы считаете ключевым, чтобы добиться успеха на этой трассе в условиях сухой погоды, которая ожидается в воскресенье?Шарль Леклер: Однозначно, очень важен хороший темп. В Остине он был неважный, и над гоночным темпом нам ещё нужно работать, поэтому на третьей тренировке мы специально ездили с высокой топливной нагрузкой, это позволило кое-что прояснить – надеюсь, мы сможем использовать этот опыт по ходу гонки. Вопрос: Похоже, ваша машина была очень быстра на третьем секторе, хотя не особенно быстра на втором – значит ли это, что в воскресенье в вашем исполнении мы увидим много обгонов?Шарль Леклер: Если честно, в первой попытке в финале я и второй сектор проехал неплохо, это вторая попытка была неудачной. Но какие-то обгоны, надеюсь, увидите! 	sports	Гонки - "Спорт"
https://stadium.ru/news/17-11-2019-figuristi-aleksandra-boikova-dmitrii-kozlovskii-viigrali-etap-gran-pri-v-moskve-v-parnom-katanii	Фигуристы Александра Бойкова – Дмитрий Козловский выиграли этап Гран-при в Москве в парном катании	Две российские пары завоевали золото и серебро на пятом этапе Гран-при в Москве. Александра Бойкова – Дмитрий Козловский одержали вторую победу в серии, Евгения Тарасова – Владимир Морозов стали серебряными призерами. Бронза у немецкой пары Минерва Фабиенне Хазе – Нолан Зигерт. Россияне Ксения Столбова – Андрей Новоселов завершили соревнования на 5-м месте, сообщает пресс-служба Федерации фигурного катания на коньках России (ФФККР). Александра Бойкова – Дмитрий Козловский впервые в карьере отобрались во взрослый финал Гран-при, выиграли этапы в Канаде и России. Фигуристы из Петербурга в произвольной программе на московском льду сделали все элементы: параллельный 3-й сальхов, каскад 3-й тулуп + 2-й тулуп + 2-й тулуп, подкрут 4-го уровня, поддержки 4-го уровня, выбросы 3-й флип и 3-й ритбергер, вращения 3-го уровня и тодес 2-го уровня. На пресс-конференции после выступления Дмитрий Козловский рассказал, что мотивировало его на такой прокат произвольной. ``Начну с интересной истории. Когда вчера мы вернулись с тренировки, то Саше на телефон пришло уведомление о видео с ютуба под названием ``Царя Самарина вчера никто не смог победить``. Поскольку мы проживаем в гостинице в одном номере с Сашей Самариным, то я подумал, что должен что ли соответствовать ему... А если отбросить шутки, то мы очень рады, что впервые отобрались во взрослый финал Гран-при, заработали себе путевку. Ранее я говорил, что у нас не было проходных этапов, не было легких соперников и мы рады, что в каком-то смысле преодолели себя``, -- сказал Дмитрий. Евгения Тарасова – Владимир Морозов, к сожалению, не смогли избежать ошибок в произвольной. Вместо параллельного 3-го сальхова сделали двойной, на каскаде из трех тулупов – тройного и двух двойных был недокрут. Фигуристам не удалось наверстать упущенных баллов после короткой программы. И хотя за произвольную они получили свой ``сизн бест``, но этого не хватило до первого места. ``Было неплохо. Есть над чем работать. У нас есть свои цели, свои планы. Мы идем своим путем. Мы не расстраиваемся. Видим свой прогресс. Это было лучше, чем раньше. Идем дальше – работаем``, -- прокомментировал Владимир Морозов. Первый в карьере совместный старт Ксении Столбовой и Андрея Новоселова не принес удовлетворения спортсменам. Фигуристы в целом справились с короткой программой, на произвольную их пока не хватило. Были помарки на прыжках, выбросе и поддержках. После короткой Ксения и Андрей занимали третье место, после произвольной опустились на пятое и в итоге стали пятыми. Спортсмены воздержались от комментариев, потому что пока комментировать что-либо рано. 	sports	Фигурное катание - "Спорт"
https://adindex.ru/news/offtop/2019/11/18/277094.phtml	«Газпром-медиа» запустил собственный бренд энергетических напитков	Starvit будет ориентирован на любителей здорового образа жизни Холдинг «Газпром-медиа» (НТВ, ТНТ, «Авторадио» и др.) запустил новое направление бизнеса — энергетические напитки под брендом Starvit. Об этом пишет газета «Коммерсантъ». Речь идет о растворимых таблетках Starvit Vitamin Energy, среди основных компонентов которых кофеин, теанин, экстракт корня женьшеня и китайский лимонник. Продукт позиционируется как «витаминный коктейль» и «натуральный стимулятор». Starvit станет зонтичным брендом, под которым планируется «линейка функциональных напитков», подтвердили изданию в «Газпром-медиа». Целевая аудитория — живущие в мегаполисах молодые люди в возрасте 20–40 лет, которые привыкли к интернет-покупкам, уточнили в компании. Он уже продвигается в социальных сетях, в том числе с помощью интеграций с блогерами. Гендиректором новой компании ООО «Старвит» стал Александр Самборский (руководит ООО «ТНТ-Регион»). Starvit — не первый непрофильный проект «Газпром-медиа». В августе холдинг стал соучредителем с долей 50% агентства по работе со звездами BubelMGT, основанного участницей шоу «Холостяк» на ТНТ Дусей Бубель. Также холдинг за недавнее время инвестировал в стартап Native Rent по пакетному размещению нативной рекламы, агентство по работе с блогерами Happy Monday Family, производителя детских товаров Nappy Club, агрегатор кейтеринговых сервисов Catery Catery. 	economy	Бизнес - "Экономика"
https://etcetera.media/uchenyie-vyiyasnyali-skolko-energii-chelovek-tratit-na-to-chtobyi-dumat.html	Сколько энергии человек тратит, чтобы думать	Люди, которые занимаются физическим трудом, нередко подшучивают над офисными сотрудниками и инженерами. В обществе бытует мнение, что они не напрягаются, ведь их работа – «стучать по клавиатуре». EtCetera выяснял, правда ли, что умственная работа не требует больших энергозатрат. ОБЯЗАТЕЛЬНЫЙ МИНИМУМ. В течение суток организм расходует энергию не только на силовые или умственные нагрузки, но и на поддержание жизненных процессов. Например, энергия тратится на дыхание и на работу внутренних органов. Так что даже если человек будет целый день лежать на диване в теплой комнате, его организм будет работать и тратить силы. Чтобы узнать, сколько калорий вы тратите таким образом, нужно вычислить показательBMR (базального метаболизма). В среднем мужчины в возрасте 30-39 лет при весе 70 кг тратят на основной обмен 1650 Ккал, а женщины того же возраста при весе 55 кг – 1260 Ккал. ФИЗИЧЕСКАЯ РАБОТА. Когда человек занимается какой-то деятельностью, его энергозатраты возрастают. И, чтобы выяснить, какое количество энергии он тратит за день, необходимо вычислить AMR (активный метаболизм), то есть умножить показатели основного обмена на коэффициент, соответствующий работе. Меньше всего энергии необходимо тем, кто ведет сидячий образ жизни (коэффициент – 1,2). При средней активности, например, физических нагрузках от 3 до 5 раз в неделю коэффициент возрастает до 1,55, а для профессиональных спортсменов – до 1,9. ПОЧЕМУ МЫ НЕ ЛЮБИМ ДУМАТЬ? В среднем в организме человека на мышцы приходится 35-45% от общей массы тела, а на мозг – всего около 2%. При этом он требует колоссальных энергетических ресурсов. Сергей САВЕЛЬЕВ, доктор биологических наук: В течение долгих веков эволюции организм приспосабливался экономить ресурсы, потому что у людей не было уверенности, что они смогут добыть себе пищу на следующий день. Современный человек редко испытывают острый недостаток в еде, поэтому не видит смысла в экономии энергии. Но привычка «экономить» заложена в нас на уровне генов и рефлексов. КАК РАБОТАЕТ МОЗГ? Врач-психиатр Андрей Курпатовобъясняет, что человеческий мозг работает не с фактами реальности, а с интеллектуальными объектами. Он постоянно получает сигналы извне через органы чувств, которые устроены так, что в один момент времени могут либо воспринимать информацию, либо передавать ее мозгу. Поэтому органы чувств на время «отключаются», чтобы передать мозгу сигнал. В результате мозг получает прерывистые сведения и «видит» не весь процесс, а его отдельные моменты. Затем ему приходится производить сложную и энергозатратную работу – реконструировать реальность по полученным фрагментам. Это можно сравнить с тем, как мы смотрим кино: лента состоит из отдельных картинок, но мы воспринимаем их как плавное движение. КАК ВОССТАНОВИТЬСЯ ПОСЛЕ НАГРУЗКИ? Сознательно остановить работу мозга мы не можем: он продолжает трудиться даже во сне – обрабатывает полученную за день информацию и синхронизирует работу полушарий. Поэтому лучший отдых для мозга – это смена деятельности. В отличие от деятельности мозга, работа мышц находится в зоне нашего контроля. Лучшие способы восстановления после физической нагрузки определили ученые французского университета Пуатье. В 2018 году они исследовали три базы данных – PubMed, Embase и Web-of-Science и пришли к выводу, что наиболее эффективно снимает усталость мышц массаж и компрессионная (утягивающая) одежда. А для снятия воспаления мышц лучше использовать массаж в сочетании с прохладной ванной. 	not_news	Не новость
https://life.ru/t/%D0%B0%D1%80%D1%82%D0%B8%D1%81%D1%82%D1%8B/1255224/volochkova_pokhudiela_do_pughaiushchiegho_sostoianiia_i_diietologhi_boiatsia_chto_budiet_dalshie	Волочкова похудела до пугающего состояния, и диетологи боятся, что будет дальше	Недавно Анастасия поделилась снимком, на котором предстала в новом дерзком образе с короткой стрижкой. Но на этом перемены во внешности не закончились. Волочкова рассказала, что практически ничего не ест и проводит по восемь часов в день у станка, репетируя новое шоу. Результат танцовщица демонстрирует на снимках, где выглядит худой и измождённой. Такой образ жизни экс-балерины у многих вызвал беспокойство. По словам диетолога Нади Шарк, организм, недополучающий необходимые питательные вещества, может выйти из строя, пишет КП. Но, возможно, Волочкова дополнительно использует витамины, минералы, БАДы. Не остались в стороне и подписчики Анастасии в ``Инстаграме``. Напуганные фанаты предположили, что у танцовщицы вскоре могут возникнуть серьёзные проблемы со здоровьем, и даже заподозрили в начинающейся анорексии. Бывшая девушка Тимати выложила фото в бикини, напугав своей фигурой даже медиков 	other	Личная жизнь знаменитостей - "Прочее"
https://www.rlsnet.ru/news_102654.htm	Актуальные вопросы офтальмологии	ФГБУ ДПО «Центральная государственная медицинская академия» Управления делами Президента Российской Федерации 22 ноября 2019 года проводит научно-практическую конференцию «Актуальные вопросы офтальмологии». Научный руководитель — И.Э. Иошин, д.м.н., профессор, заведующий офтальмологическим центром ФГБУ «Клиническая больница» Управления делами Президента РФ, главный внештатный специалист офтальмолог Управления делами Президента РФ. Организаторы Программа конференции Конференция будет транслироваться онлайн. Необходимо зарегистрироваться в специальной форме на официальном сайте мероприятия, ссылка для просмотра будет отправлена на указанный при регистрации адрес электронной почты. Документация по конференции представлена в Комиссию по оценке учебных мероприятий и материалов для НМО (www.sovetnmo.ru). Начало научной программы в 09.00. Место проведения: Москва, ФГБУ «Поликлиника №1», Калошин пер., д. 3, стр. 2 (проходная). 	science	Новость про науку
