INPUT:url	INPUT:text	INPUT:title	GOLDEN:res	HINT:text
https://eadaily.com/ru/news/2019/11/05/rossiya-obognala-ssha-i-strany-evrosoyuza-po-eksportu-zerna	Россия с начала текущего сельскохозяйственного года (с 1 июля 2019 года) по 31 октября экспортировала 17,5 миллиона тонн зерновых культур. Об этом сообщает Минсельхоз РФ, ссылаясь на оперативную информацию ФТС России на 31 октября 2019 года . По данным Международного совета по зерну, которые приводит министерство, цена на российскую пшеницу четвертого класса (12,5% протеина, FOB Новороссийск) по состоянию на 31 октября составила 210 долларов за тонну, увеличившись за неделю на 1 доллар (на 0,5%). Экспорт зерна из России в 2018—2019 сельскохозяйственном году (с 1 июля 2018 года по 30 июня 2019 года) составил 43,3 миллиона тонн, в том числе 35,2 миллиона тонн пшеницы. Таким образом, Россия по итогам минувшего сельхозгода сохранила первое место в мире по поставкам пшеницы, обогнав как США, так и страны Евросоюза. Следует отметить, что, согласно ожиданиям Минсельхоза РФ, в 2019—2020 сельскохозяйственном году (с 1 июля 2019 года по 30 июня 2020 года) экспорт зерна из России составит 45 миллионов тонн, включая 36 миллионов тонн пшеницы. 	Россия обогнала США и страны Евросоюза по экспорту зерна	economy	Экономика
https://nevnov.ru/region/Arkhangelsk/740174-v-arkhangelske-proveryayut-na-dostovernost-smetu-kapitalnogo-remonta-shkoly-9	В столице Поморья дорабатывается проектно-сметная документация на капитальный ремонт школы № 9. Итоги экспертизы будут известны в конце декабря. В Архангельске ведется работа по капитальному ремонту школы № 9. Сейчас идет утверждение и согласование документации, сообщает сайт мэрии Архангельска. На днях состоялась встреча представителей мэрии Архангельска руководства школы и родительского актива по вопросу капитального ремонта школы № 9 на проспекте Ломоносова, 80. Сейчас процесс находится на этапе согласования проектно-сметной документации. Пакет документов был готов в конце сентября. Потребовалось некоторое время на устранение недочетов, которые выявил технический заказчик. Сейчас проектно-сметная документация полностью готова и находится в ГАУ АО «Архангельский региональный центр по ценообразованию в строительстве» для проверки достоверности на проведение капитального ремонта. Следующая встреча с родителями пройдет в конце декабря, когда уже будут известны итоги экспертизы проектной документации. Напомним, что инженерно-техническое исследование фундамента и стен здания проводилось зимой этого года. Специалисты решили, что есть возможность провести капитальный ремонт. Был проведен аукцион, с подрядчиком ИП Богдановым заключили контракт. #экспертиза#проект#архангельск#смета#капитальный ремонт в школе#школа № 9 	В Архангельске проверяют на достоверность смету капитального ремонта школы № 9	society	Подозрение на коррупцию - Общество
https://paperpaper.ru/papernews/2019/11/10/v-mojke-obnaruzhili-skelet-neizvestno/	У Фонарного моста через реку Мойку водолазы нашли останки неизвестного человека. Поисковые работы проводились по делу доцента СПбГУ Олега Соколова, сообщает «Фонтанка». По информации издания, вечером 9 ноября водолазы обнаружили тело, которое уже успело полностью разложиться. Поиски проходили напротив дома, где проживал подозреваемый в убийстве студентки историк Соколов. Утром 9 ноября из Мойки спасли доцента СПбГУ Олега Соколова, в рюкзаке которого нашли отрубленные женские руки. В его квартире обнаружили труп 24-летней девушки, которая, предположительно, была его студенткой и сожительницей. Возбуждено уголовное дело. Вечером 9 ноября историк оформил явку с повинной. 	В Мойке обнаружили скелет неизвестного человека. Водолазы искали останки девушки, в убийстве которой обвиняется историк Соколов	society	Криминал - Общество
https://life.ru/t/%D0%B0%D1%80%D1%82%D0%B8%D1%81%D1%82%D1%8B/1255224/volochkova_pokhudiela_do_pughaiushchiegho_sostoianiia_i_diietologhi_boiatsia_chto_budiet_dalshie	Недавно Анастасия поделилась снимком, на котором предстала в новом дерзком образе с короткой стрижкой. Но на этом перемены во внешности не закончились. Волочкова рассказала, что практически ничего не ест и проводит по восемь часов в день у станка, репетируя новое шоу. Результат танцовщица демонстрирует на снимках, где выглядит худой и измождённой. Такой образ жизни экс-балерины у многих вызвал беспокойство. По словам диетолога Нади Шарк, организм, недополучающий необходимые питательные вещества, может выйти из строя, пишет КП. Но, возможно, Волочкова дополнительно использует витамины, минералы, БАДы. Не остались в стороне и подписчики Анастасии в ``Инстаграме``. Напуганные фанаты предположили, что у танцовщицы вскоре могут возникнуть серьёзные проблемы со здоровьем, и даже заподозрили в начинающейся анорексии. Бывшая девушка Тимати выложила фото в бикини, напугав своей фигурой даже медиков 	Волочкова похудела до пугающего состояния, и диетологи боятся, что будет дальше	entertainment	Личная жизнь знаменитостей - Культура и развлечения
https://www.znak.com/2019-11-17/noveyshiy_voennyy_bespilotnik_ruhnul_v_ryazanskoy_oblasti	В Рязанской области потерпел крушение беспилотный авиационный комплекс «Орион». Он рухнул вблизи многоквартирного жилого дома в поселке Листвянка.   «Экспериментальный образец упал при выполнении испытательного полета. По предварительной версии, произошел отказ техники. Причины выясняются. Это [беспилотный аппарат] „Орион“», — сказал ТАСС следователь по особо важным делам Московского межрайонного СУ СК на транспорте Сергей Бубенев. По его словам, проблемы у беспилотника начались еще до посадки. «Погода вряд ли могла повлиять, возможно, боковой ветер», — сказал он. Как сообщила глава Рязанского района Наталья Жуняева, беспилотник упал примерно в 70-ти метрах от многоквартирного жилого дома. Пострадавших нет. «Орион» — средневысотный беспилотный комплекс большой продолжительности полета. На форуме «Армия-2018» группа «Кронштадт» демонстрировала блок управления вооружением для беспилотника и прототип боеприпаса собственной разработки массой до 50 кг, который может оснащаться различными боевыми частями. На авиасалоне «МАКС-2019» генеральный конструктор группы «Кронштадт» Николай Долженков сказал, что беспилотник «Орион» находится в финальной стадии испытаний, Минобороны России получит один такой комплекс до конца года. 	Новейший военный беспилотник рухнул в Рязанской области	society	Происшествие - Общество
https://nevnov.ru/region/Petrozavodsk/740500-vpervye-v-petrozavodsk-priedet-sankt-peterburgskii-teatr-muzykalnoi-komedii	В столицу Карелии приедут на гастроли артисты петербургского театра. На сцене Музыкального театра Карелии они исполнят свои самые лучшие номера. Санкт-Петербургский театр музыкальной комедии впервые приедет в Петрозаводск. Об этом сообщает издание «Karelia.news». Петербургский театр музыкальной комедии является одним из старейших в стране театров жанра опереттасанкт-петербургский . С 1938 года коллектив работает в красивейшем особняке на Итальянской улице. Одна из самых славных страниц в истории театра — работа в осажденном городе в течение всех девятисот дней Ленинградской блокады в годы ВОВ. Впервые в Петрозаводске с 6–8 декабря на сцене Музыкального театра выступят артисты Санкт-Петербургского театра музыкальной комедии. Они исполнят три оперетты и гала-концерт. Гостей ждет два спектакля – «Сильва» и «Граф Люксембург». Также петрозаводчане увидят поставленную петербургским театром впервые в России оперетту итальянских композиторов Карло Ломбардо и Вирджилио Ранцато «Чин Чи Ла, или Уроки любви». Гастроли завершатся гала-концертом звезд оперетты. Легкий и жизнерадостный жанр оперетты подарит жителям города минуты отдыха и забвения.   #карелия#петрозаводск#оперетта#санкт-петербургский театр музыкальной комедии 	Впервые в Петрозаводск приедет Санкт-Петербургский театр музыкальной комедии	entertainment	Культурное событие
https://zik.ua/ru/news/2019/11/06/dozhdy_y_veter_ukrayntsev_predupredyly_ob_oslozhnenyy_pogodnih_uslovyy_1684679	В среду, 6 ноября, в Украине ожидаются значительные дожди и сильный ветер. Об этом сообщает пресс-служба ГСЧС. «По прогнозу Укргидрометцентра, 6 ноября в Украине порывы ветра 15-20 м/с, на Закарпатье и Прикарпатье ночью и утром значительный дождь (И уровень опасности)», – говорится в сообщении. Также отмечается, что по Киеву и Киевской области 6 ноября порывы ветра 15-20 м/с (И уровень опасности). Напомним, в Украине 6-го ноября удержится теплая роскошная погода, температура в течение дня в большинстве областей +15+20 градусов, на юге до +22 градусов. 	Дожди и ветер: Украинцев предупредили об осложнении погодных условий	other	Погода - Прочее
https://meduza.io/cards/sledovateli-zasekretili-delo-ivana-golunova-hotya-zasekrechivat-prestupleniya-politseyskih-nelzya-i-chto-eto-zakonno	Следствие объявило, что материалы уголовного дела, по которому проверяют полицейских, задерживавших корреспондента «Медузы» Ивана Голунова, полностью засекречены. Поэтому следователь отказался представить документы в суд, куда адвокат Голунова Сергей Бадамшин пожаловался на затягивание проверки. Никак. «Засекречено все уголовное дело, от обложки до последней странички, без объяснения причин», — приводит слова Бадамшина «МБХ медиа». Он подтвердил «Медузе», что следователь в суде не ссылался ни на какие нормы Уголовно-процессуального кодекса. Нет. Все дело как таковое засекретить нельзя, но можно объявить секретными входящие в него материалы. «Когда в материалах дела имеются сведения, составляющие государственную тайну, на материалы дела ставится гриф „секретно“. Однако это не означает, что засекречиваются материалы уголовного дела полностью — режим государственной тайны распространяется только на те документы, которые ее содержат», — рассказал «Медузе» адвокат «Команды 29» Евгений Смирнов. Например, если в деле только одна секретная справка, то на конкретный том ставится пометка, что в нем содержатся секретные сведения. Перечень сведений, которые подлежат засекречиванию, также ограничен. К гостайне нельзя относить сведения: Да, в теории. В той же статье закона «О гостайне», где перечислены сведения, которые нельзя засекречивать, сказано, что «должностные лица, принявшие решения о засекречивании перечисленных сведений… несут уголовную, административную или дисциплинарную ответственность». Но, как отмечает Смирнов, ни в Уголовном кодексе, ни в Кодексе об административных правонарушениях ответственности конкретно за такие действия нет. «Для того же, чтобы наказать должностное лицо в рамках статей 285, 286 и 293 УК, которые устанавливают ответственность за неисполнение/ ненадлежащее исполнение должностными лицами своих обязанностей, необходимо наличие существенного нарушения прав и законных интересов граждан или организаций либо охраняемых законом интересов общества или государства или крупный ущерб. Доказать такое существенное нарушение, или крупный ущерб практически невозможно», — добавил адвокат. Нет. Подписку о неразглашении данных расследования следователь может взять в любом уголовном деле. Проще говоря, дело необязательно должно быть секретным или содержать гостайну, чтобы следователь ограничил возможность фигурантов и адвокатов рассказывать о нем. Суд тоже можно засекретить. По умолчанию разбирательство в российский судах всегда должно проходить в открытом режиме — любой человек может прийти на любое заседание в любой суд. Но есть перечень случаев, когда разбирательство закрывают от посторонних: Два простых примера. Допрос главы «Роснефти» Игоря Сечина по делу против бывшего министра экономического развития Алексея Улюкаева, проходил в закрытом режиме: прокурор утверждал, что в словах Сечина есть коммерческая тайна. В деле Марии Мотузной свидетельниц, оскорбившихся ее постами, и сотрудника Центра «Э» также допрашивали в закрытом заседании — те рассказали о поступавших им угрозах. Да. Защитник дает подписку о неразглашении сведений, отнесенных к гостайне, после чего следователь допускает его к документам. Но работать с ними сложнее, чем обычно. «Для адвоката засекреченные материалы всегда головная боль — не дают делать копии документов, свои выписки из материалов, заметно осложняется и бюрократизируется процедура ознакомления делом, а судебные заседания всегда проходят в закрытом режиме, что лишает действенного в нашей стране инструмента защиты — гласности», — объяснил адвокат Евгений Смирнов. Через суд. По словам Евгения Смирнова из «Команды 29», вопросами гостайны занимаются суды субъектов Федерации (например, Мосгорсуд), помимо этого можно пожаловаться начальнику следователя, который засекретил материалы. Адвокат Сергей Бадамшин отказался комментировать, можно ли оспорить решение следствия по делу Ивана Голунова. 	Следователи засекретили дело Ивана Голунова, хотя засекречивать преступления полицейских нельзя. И что, это законно?	society	Резонансное политическое дело - Общество
https://www.fontanka.ru/2019/11/08/100/	Шанхайский автопроизводитель Aiways получил все необходимые сертификаты для того, чтобы выпустить на рынок первый китайский электрический кроссовер в Европе. Aiways U5 будет представлен в Китае 29 ноября и сначала поступит на внутренний рынок, сообщает 8 ноября Bloomberg. Продажи планируется начать во втором квартале следующего года. Для европейского рынка будет подготовлена специальная модификация, учитывающая местные вкусы и требования регуляторов. Компания осознает, что вступает на рынок, где десятилетиями доминировали местные, американские и японские автопроизводители, и отвоевать себе место будет непросто, заявил журналистам соучредитель Aiways Фу Цян. Однако за ее продвижением в Европе будут внимательно следить десятки подобных китайских компаний, производящих электромобили и имеющих не менее масштабные амбиции. На фоне слабеющих продаж внутри Китая экспансия на европейский рынок выглядит логичным шагом. По мнению Bloomberg, сам по себе этот шаг уже знаменует «исторический» разворот, поскольку на протяжении многих лет, наоборот, европейские и американские автопроизводители старались завоевать китайский рынок. Теперь же набирает силу движение в обратном направлении. Китайские автомобили с традиционными двигателями давно уже стали привычными за пределами страны – но не электрические. А между тем, именно Китай является мировым лидером как по количеству, так и по разнообразию моделей электрокаров. Их выпуском заняты более полутысячи компаний – это настолько много, что даже вызвало озабоченность у властей. Судя по всему, китайцы на европейском рынке электромобилей собираются применить свое испытанное оружие – низкие, почти демпинговые цены. Aiways U5, по заявлению господина Фу Цяна, будет стоить от 25 тысяч евро. Аналогичные электрокроссоверы немецкого или американского производства обходятся в разы дороже, и даже многие хетчбэки, такие как Volkswagen ID.3 или Opel Corsa E, стоят или дороже, или почти столько же. 	Китайцы начинают «электрическое» вторжение в Европу. Первым будет кроссовер – дешевле хетчбэка	technology	Авто - Технологии
https://dtf.ru/esport/113682-po-dota-2-provedut-blagotvoritelnyy-turnir-dlya-borby-s-koronavirusom	Турнирный оператор WePlay! анонсировал глобальный онлайн-турнир по Dota 2. В конце марта по 4 команды из 6 регионов примут участие в благотворительном марафоне с целью сбора средств на поддержку борьбы с коронавирусом. Стартовый призовой фонд, который внесли организаторы, — 120 тысяч долларов. Также сообщается, что компания привлечет средства от спонсоров и зрителей. Все деньги пойдут в специализированные фонды, список которых огласят позже. WeSave! Charity Play пройдет в онлайне с 20 по 26 марта. Все средства с турнира будут пожертвованы в благотворительные организации.	По Dota 2 проведут благотворительный турнир для борьбы с коронавирусом	sports	Киберспорт тоже спорт
